"iso2","date","internet_online_model_prediction","internet_offline_model_prediction","internet_online_offline_model_prediction","ground_truth_internet_gg","mobile_online_model_prediction","mobile_offline_model_prediction","mobile_online_offline_model_prediction","ground_truth_mobile_gg"
SA,202207,0.701,0.897,0.759,0.673,0.807,0.987,0.913,0.965
SB,202207,0.905,,,,0.945,,,
SC,202207,0.972,,,,0.99,,,
SE,202207,1.0,0.961,1.0,0.994,1.0,1.0,0.954,0.986
SG,202207,0.99,0.995,1.0,0.979,1.0,1.0,1.0,0.972
SI,202207,0.982,0.937,0.996,0.986,0.997,1.0,0.95,1.0
SK,202207,1.0,1.0,0.995,0.967,1.0,1.0,1.0,
SL,202207,0.855,0.638,,,0.911,0.755,0.89,
SM,202207,,,,,,,,
SN,202207,0.707,0.739,0.683,,0.811,0.789,0.784,0.846
SO,202207,0.847,,,,0.906,,,
SR,202207,0.959,0.908,,,0.981,0.96,0.995,
ST,202207,0.9,,,,0.942,,,
SV,202207,0.919,0.951,0.914,0.932,0.955,0.949,0.974,0.978
SX,202207,,,,,,,,
SZ,202207,0.88,0.905,0.881,,0.928,0.94,0.943,
TD,202207,0.607,0.396,0.563,,0.743,0.521,0.518,
TG,202207,0.682,0.479,0.603,0.528,0.794,0.653,0.714,0.813
TH,202207,0.966,0.963,0.99,0.97,0.987,0.979,1.0,0.994
TJ,202207,0.651,0.691,0.588,,0.773,0.835,0.819,
TL,202207,,,,,,,,0.848
TM,202207,0.897,,,,0.94,,,
TN,202207,0.879,0.835,0.974,,0.927,0.912,0.955,0.875
TO,202207,1.0,,,,1.0,,,
TR,202207,0.727,0.916,0.72,0.777,0.825,0.968,0.888,0.972
TT,202207,1.0,,,,1.0,,,
TV,202207,,,,,,,,
TW,202207,0.985,,,0.97,0.999,,,0.999
TZ,202207,0.801,0.711,0.742,,0.875,0.812,0.848,0.895
UA,202207,1.0,0.878,1.0,0.933,1.0,0.961,1.0,0.989
UG,202207,0.775,0.728,0.723,,0.857,0.791,0.823,0.692
US,202207,1.0,0.979,1.0,1.0,1.0,1.0,1.0,0.956
UY,202207,1.0,0.978,,0.989,1.0,0.994,1.0,1.0
UZ,202207,0.712,,,,0.814,,,
VC,202207,1.0,,,,1.0,,,
VE,202207,1.0,,,,1.0,,1.0,0.904
VN,202207,0.969,0.895,0.963,,0.988,0.918,1.0,1.0
VU,202207,1.0,,,,1.0,,,
WS,202207,1.0,,,,1.0,,,
XK,202207,,,,,,,,
YE,202207,0.546,0.556,0.508,,0.702,0.637,0.665,
ZA,202207,0.969,0.917,0.963,,0.988,0.966,0.978,0.954
ZM,202207,0.847,,,,0.906,,,
ZW,202207,0.796,0.804,0.78,0.798,0.871,0.857,0.891,0.947
