gid_0,gid_1,outcome,predicted,predicted_error,date
AFG,AFG.2_1,mobile_fm_ratio,0.42,0.11,2024-11
AFG,AFG.2_1,internet_women,9.82,3.13,2024-11
AFG,AFG.2_1,internet_men,31.74,6.63,2024-11
AFG,AFG.2_1,internet_fm_ratio,0.19,0.08,2024-11
AFG,AFG.3_1,mobile_women,30.3,9.99,2015-01
AFG,AFG.3_1,mobile_men,81.06,6.03,2015-01
AFG,AFG.3_1,mobile_fm_ratio,0.33,0.11,2015-01
AFG,AFG.3_1,internet_women,7.32,2.72,2015-01
AFG,AFG.3_1,internet_men,25.89,7.2,2015-01
AFG,AFG.3_1,internet_fm_ratio,0.18,0.08,2015-01
AFG,AFG.3_1,mobile_women,31.06,9.98,2016-01
AFG,AFG.3_1,mobile_men,82.41,6.03,2016-01
AFG,AFG.3_1,mobile_fm_ratio,0.34,0.11,2016-01
AFG,AFG.3_1,internet_women,7.56,2.72,2016-01
AFG,AFG.3_1,internet_men,26.19,7.16,2016-01
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2016-01
AFG,AFG.3_1,mobile_women,32.39,9.96,2017-01
AFG,AFG.3_1,mobile_men,84.08,6.03,2017-01
AFG,AFG.3_1,mobile_fm_ratio,0.35,0.11,2017-01
AFG,AFG.3_1,internet_women,7.74,2.73,2017-01
AFG,AFG.3_1,internet_men,26.53,7.14,2017-01
AFG,AFG.3_1,internet_fm_ratio,0.19,0.09,2017-01
AFG,AFG.3_1,mobile_women,34.16,9.95,2018-01
AFG,AFG.3_1,mobile_men,84.1,6.04,2018-01
AFG,AFG.3_1,mobile_fm_ratio,0.37,0.11,2018-01
AFG,AFG.3_1,internet_women,9.07,2.73,2018-01
AFG,AFG.3_1,internet_men,28.25,7.1,2018-01
AFG,AFG.3_1,internet_fm_ratio,0.2,0.09,2018-01
AFG,AFG.3_1,mobile_women,34.98,9.88,2019-06
AFG,AFG.3_1,mobile_men,85.14,6.02,2019-06
AFG,AFG.3_1,mobile_fm_ratio,0.42,0.11,2019-06
AFG,AFG.3_1,internet_women,11,2.63,2019-06
AFG,AFG.3_1,internet_men,29.8,7.04,2019-06
AFG,AFG.3_1,internet_fm_ratio,0.21,0.08,2019-06
AFG,AFG.3_1,mobile_women,35.49,9.97,2020-06
AFG,AFG.3_1,mobile_men,78.44,6.04,2020-06
AFG,AFG.3_1,mobile_fm_ratio,0.42,0.11,2020-06
