gid_0,outcome,predicted,predicted_error,date
SGP,internet_fm_ratio,0.991,0.034,2024-06
SGP,internet_women,0.965,8.725,2024-06
SGP,internet_men,0.963,5.619,2024-06
SGP,mobile_fm_ratio,0.997,0.038,2024-06
SGP,mobile_women,0.975,2.426,2024-06
SGP,mobile_men,0.979,0.09,2024-06
SEN,internet_fm_ratio,0.758,0.067,2024-06
SEN,internet_women,0.511,0.507,2024-06
SEN,internet_men,0.651,0.416,2024-06
SEN,mobile_fm_ratio,0.84,0.044,2024-06
SEN,mobile_women,0.718,1.162,2024-06
SEN,mobile_men,0.832,0.083,2024-06
SAU,internet_fm_ratio,0.987,0.052,2024-06
SAU,internet_women,0.995,5.045,2024-06
SAU,internet_men,0.992,3.285,2024-06
SAU,mobile_fm_ratio,0.994,0.04,2024-06
SAU,mobile_women,0.985,2.316,2024-06
SAU,mobile_men,0.99,0.081,2024-06
RWA,internet_fm_ratio,0.634,0.059,2024-06
RWA,internet_women,0.301,0.373,2024-06
RWA,internet_men,0.466,0.318,2024-06
RWA,mobile_fm_ratio,0.804,0.039,2024-06
RWA,mobile_women,0.622,1.228,2024-06
RWA,mobile_men,0.746,0.088,2024-06
ROU,internet_fm_ratio,0.986,0.042,2024-06
ROU,internet_women,0.855,3.198,2024-06
ROU,internet_men,0.857,2.111,2024-06
ROU,mobile_fm_ratio,0.994,0.041,2024-06
ROU,mobile_women,0.949,1.627,2024-06
ROU,mobile_men,0.942,0.091,2024-06
QAT,internet_fm_ratio,1.054,0.049,2024-06
QAT,internet_women,0.996,9.45,2024-06
QAT,internet_men,0.994,6.095,2024-06
QAT,mobile_fm_ratio,1.001,0.044,2024-06
QAT,mobile_women,0.967,2.255,2024-06
QAT,mobile_men,0.982,0.089,2024-06
PRY,internet_fm_ratio,1.02,0.049,2024-06
PRY,internet_women,0.76,1.416,2024-06
PRY,internet_men,0.753,0.982,2024-06
PRY,mobile_fm_ratio,1.012,0.044,2024-06
PRY,mobile_women,0.831,0.874,2024-06
PRY,mobile_men,0.836,0.089,2024-06
PRT,internet_fm_ratio,0.994,0.037,2024-06
PRT,internet_women,0.84,3.544,2024-06
PRT,internet_men,0.854,2.327,2024-06
PRT,mobile_fm_ratio,0.995,0.038,2024-06
PRT,mobile_women,0.953,1.382,2024-06
PRT,mobile_men,0.968,0.089,2024-06
POL,internet_fm_ratio,0.997,0.038,2024-06
POL,internet_women,0.869,3.534,2024-06
POL,internet_men,0.873,2.325,2024-06
POL,mobile_fm_ratio,0.994,0.04,2024-06
POL,mobile_women,0.932,1.493,2024-06
POL,mobile_men,0.947,0.093,2024-06
PNG,internet_fm_ratio,0.751,0.051,2024-06
PNG,internet_women,0.343,0.489,2024-06
PNG,internet_men,0.404,0.382,2024-06
PNG,mobile_fm_ratio,0.855,0.037,2024-06
PNG,mobile_women,0.635,0.524,2024-06
PNG,mobile_men,0.665,0.078,2024-06
PLW,internet_fm_ratio,1.004,0.034,2024-06
PLW,internet_women,0.772,1.994,2024-06
PLW,internet_men,0.765,1.343,2024-06
PLW,mobile_fm_ratio,0.995,0.042,2024-06
PLW,mobile_women,0.825,0.962,2024-06
PLW,mobile_men,0.808,0.092,2024-06
PHL,internet_fm_ratio,0.99,0.051,2024-06
PHL,internet_women,0.666,1.02,2024-06
PHL,internet_men,0.649,0.728,2024-06
PHL,mobile_fm_ratio,0.99,0.042,2024-06
PHL,mobile_women,0.76,0.787,2024-06
PHL,mobile_men,0.771,0.089,2024-06
PER,internet_fm_ratio,0.955,0.045,2024-06
PER,internet_women,0.742,1.284,2024-06
PER,internet_men,0.768,0.891,2024-06
PER,mobile_fm_ratio,0.969,0.04,2024-06
PER,mobile_women,0.809,1.163,2024-06
PER,mobile_men,0.8,0.086,2024-06
PAN,internet_fm_ratio,1.009,0.047,2024-06
PAN,internet_women,0.725,3.245,2024-06
PAN,internet_men,0.733,2.144,2024-06
